,en,de,original_de
0,A single man in a black t-shirt standing above the crowd at a busy bar., Ein einzelner Mann in einem schwarzen T-Shirt steht über einer belebten Menschenmenge . ,Ein einzelner Mann in einem schwarzen T-Shirt überragt die anderen Menschen in einer gut besuchten Bar.
0,Woman and man walking across wooden rope bridge with a caution sign beside it., Frau und ein Mann gehen über eine  Brücke mit einem  an . ,Frau und Mann gehen über hölzerne Hängebrücke mit Warnschild daneben.
0,A man in a skirt is jumping while juggling knives., Ein Mann in einem Rock springt und jongliert mit  . ,Ein Mann mit einem Rock sitzt auf einem Einrad und jongliert dabei mit Messern.
0,An Asian girl in a green hat and apron is serving drinks on a tray., Ein asiatisches Mädchen mit einer grünen Kopfbedeckung und Schürze trinkt an einem Tablett mit Essen . ,Ein asiatisches Mädchen mit grünem Hut und Schürze serviert Getränke auf einem Tablett.
0,Construction workers standing on top of a piece of machinery., Bauarbeiter stehen oben auf einer Maschine . ,Bauarbeiter stehen auf einer Maschine
0,Two dogs play with an orange toy in tall grass., Zwei Hunde spielen in einem orangefarbenen Spielzeug mit hohen Gras . ,Zwei Hunde spielen im hohen Gras mit einem orangen Spielzeug.
0,A cute baby is smiling at another child., Ein  Baby lächelt in einem anderen Kind . ,Ein süßes Baby lächelt einem anderen Kind zu.
0,Three men are walking on a road in the mountains., Drei Männer gehen auf einer Straße in den Bergen entlang . ,Drei Männer gehen auf einer Straße in den Bergen.
0,A person is parasailing over a large body of water., Eine Person macht Parasailing über einem großen Gewässer . ,Eine Person beim Parasailing über einem großen Gewässer.
0,A tractor is moving dirt to help build up a retaining wall., Ein Traktor bewegt sich beim  von einer Wand mit  hoch . ,Ein Traktor bewegt Erde für den Bau einer Stützmauer.
0,A young girl running by herself in a park., Ein junges Mädchen läuft in einem Park mit sich in einem Park . ,Ein junges Mädchen läuft allein durch einen Park.
0,A person crosses the street and avoids the spill of paint., Eine Person überquert die Straße und   Farbe . ,Eine Person überquert die Straße und meidet dabei die ausgelaufene Farbe.
0,"Child playing on a playground, hanging from bars.", Kind spielt auf einem Spielplatz und hängt von  von  . ,Kind spielt auf einem Spielplatz und hängt dabei an Stangen.
0,A person wearing a red long-sleeved shirt is lying down on a wall in front of a lamp post in a very unusual manner., Eine Person in einem roten  Hemd liegt auf einer Mauer vor einem sehr  und mit der Aufschrift  eine  . ,Eine Person in einem roten Langarmshirt liegt auf sehr ungewöhnliche Art auf einer Mauer vor einem Laternenpfahl.
0,A group of people collect around a man in a suit and a little boy., Eine Gruppe von Menschen um einen Mann im Anzug herum und ein kleiner Junge . ,Eine Gruppe von Menschen sammelt sich um einen Mann in einem Anzug und einen kleinen Jungen.
0,A woman sits at a dark bar., Eine Frau sitzt an einer dunklen Bar . ,Eine Frau sitzt an einer dunklen Bar.
0,People are walking down a sidewalk where there is an outdoors market.," Leute gehen auf einem Gehweg , im Freien ein Markt im Freien ist . ","Menschen gehen auf einem Gehweg, an dem ein Freiluftmarkt stattfindet."
0,A man with a blue backpack reads the paper while waiting to board the subway., Ein Mann mit einem blauen Rucksack liest Zeitung und wartet auf die U-Bahn . ,"Ein Mann mit einem blauen Rucksack liest die Zeitung, während er auf die U-Bahn wartet."
0,A large brown dog is sticking his face in the sprinkler., Ein großer brauner Hund streckt sein Gesicht aus dem  . ,Ein großer brauner Hund hält sein Gesicht in den Rasensprenger.
0,A blond boy in a blue t-shirt stands smiling before a craft of green nylon fabric., Ein blonder Junge in einem blauen T-Shirt steht vor einem grünen Stoff und schneidet  Stoff . ,Ein blonder Junge in einem blauen T-Shirt steht lächelnd vor einem Boot aus grünem Nylongewebe.
0,A young white male is sweeping a porch with a large broom., Ein junger Mann kehrt mit einem großen Besen mit einem Besen . ,Ein weißer Junge fegt eine Veranda mit einem großen Besen.
0,A person about in the middle of throwing a green bowling ball down a bowling lane.," Eine Person , die gerade in der grünen Bowlingkugel auf eine grüne Bahn wirft . ",Eine Person wirft gerade eine grüne Bowlingkugel eine Bowlingbahn entlang.
0,A band plays a rock show to a bar audience., Eine Band spielt bei einer  für eine Publikum . ,Eine Band gibt ein Rockkonzert vor Zuschauern in einer Bar.
0,An elderly man is walking a brown dog using a red leash., Ein älterer Mann geht mit einem braunen Hund an der Leine . ,Ein älterer Mann geht mit einem braunen Hund an einer roten Leine spazieren.
0,A man drives an old-fashioned red race car., Ein Mann fährt in einem  roten Auto . ,Ein Mann fährt ein altmodisches rotes Rennauto.
0,"Young adults wearing red, yellow, and black shirts in a straight line perform a sketch."," Junge Erwachsene , rot und gelbe Hemden , Hemden und einen  treten in einem  gegeneinander an . ","Junge Erwachsene in einer geraden Linie, die rote, gelbe und schwarze T-Shirts tragen, führen einen Sketch auf."
0,"A young boy, throwing a stone into calm water.", Ein kleiner Junge wirft einen Stein in ein Gewässer . ,Ein kleiner Junge wirft einen Stein in ruhiges Wasser.
0,Two women with short hair are facing each other and the blond one is talking., Zwei Frauen mit kurzen Haaren stehen einander gegenüber und unterhalten sich . ,Zwei kurzhaarige Frauen stehen einander gegenüber und die blonde Frau spricht.
0,An elaborate costumed figure is in front of a brightly decorated structure.," Eine   mit einer Figur vor einem bunten , der in  bemalt ist . ",Eine aufwendig kostümierte Figur vor einem prächtig geschmückten Bauwerk.
0,A dog walking through a small stream with a rag in his mouth., Ein Hund läuft mit einem kleinen Bach durch einen Bach . ,Ein Hund geht mit einem Tuch im Maul durch einen kleinen Bach.
0,Three small dogs sniff at something., Drei kleine Hunde  etwas an . ,Drei kleine Hunde schnüffeln an etwas.
0,Two man are paddling a kayak along a river with green trees on either side., Zwei Männer paddeln auf einem Kajak mit grünen Bäumen auf Bäumen und zwei Bäumen fahren . ,Zwei Männer paddeln in einem Kajak einen Fluss mit grünen Bäumen auf beiden Seiten entlang.
0,Two girls walking down the street., Zwei Mädchen gehen die Straße entlang . ,Zwei Mädchen gehen eine Straße entlang.
0,A group of kids sitting in the back of a van together looking at a book., Eine Gruppe Kinder sitzt im  eines Gebäudes und schaut sich ein Buch an . ,Eine Gruppe von Kindern sitzt hinten in einem Van und sieht sich ein Buch an.
0,Beach goers look at a heart left in the sky by a sky writer.,  schauen an der  des  Himmel durch ein Himmel . ,"Strandbesucher blicken auf ein Herz, das von einem Himmelsschreiber am Himmel hinterlassen wurde."
0,"Sitting casually in a public place, a girl reads holding the book open with her hand on which is a butterfly ring.","  im  , ein öffentlichen Platz und ein Mädchen liest mit einem offenen Buch in der Hand ein  mit einem  . ","Ein Mädchen sitzt in bequemer Haltung an einem öffentlichen Ort und liest ein Buch, das sie mit ihrer Hand geöffnet hält, an der sich ein Ring mit einem Schmetterling befindet."
0,A man in a restaurant having lunch., Ein Mann in einem Restaurant beim Essen . ,Ein Mann isst in einem Restaurant zu Mittag.
0,A man in a suit and glass has an object in his hands., Ein Mann im Anzug und mit einem Glas Gegenstand hat die Hände in die Hand . ,Ein Mann mit Anzug und Brille hält einen Gegenstand in den Händen.
0,A man in a black wetsuit is surfing on a wave., Ein Mann in einem schwarzen Neoprenanzug surft auf einer Welle . ,Ein Mann in einem schwarzen Neoprenanzug surft auf einer Welle.
0,A woman with a pink purse is sitting on a bench., Eine Frau mit einer rosa Handtasche sitzt auf einer Bank . ,Eine Frau mit pinkfarbener Tasche sitzt auf einer Bank.
0,Three women smiling and sitting down., Drei Frauen lächeln und sitzen zusammen . ,Drei Frauen sitzen da und lächeln.
0,A red plane flying over a boat as it trails pink smoke., Ein Flugzeug fliegt ein Flugzeug über ein Boot und es  hinter ihm . ,Ein rotes Flugzeug fliegt über einem Boot und zieht dabei pinkfarbenen Rauch hinter sich her.
0,A man in a harness climbing a rock wall, Ein Mann mit  klettert an einer Felswand hoch . ,Ein Mann in einem Klettergurt klettert an einer Felswand
0,Two construction workers assist in the loading of a dump truck at an urban construction site., Zwei Bauarbeiter bei der  eines  auf der Straße bei einer  . ,Zwei Bauarbeiter helfen beim Beladen eines Kippers auf einer innerstädtischen Baustelle.
0,A woman in a colorful outfit is walking by a white truck filled with bottles., Eine Frau in bunten Outfit geht an einem weißen Lastwagen voller mit Flaschen vorbei . ,"Eine bunt gekleidete Frau geht an einem weißen Lastwagen vorbei, der mit Flaschen gefüllt ist."
0,A woman in a blue hat and yellow skirt is jumping in an area with lilacs., Eine Frau mit einem blauen Hut und einem gelben Rock springt in einem Bereich mit  Gebiet . ,Eine Frau mit blauem Hut und gelbem Rock springt an einer mit Flieder bewachsenen Stelle in die Luft.
0,A man is wearing a gold outfit while standing with his gold bike., Ein Mann in einem goldenen Outfit steht mit seinem goldenen Fahrrad . ,Ein Mann mit goldfarbener Kleidung steht neben seinem goldfarbenen Fahrrad.
0,Baby looking at the leaves on a branch of a tree., Ein Baby blickt auf den Ast eines Ast . ,Baby sieht sich die Blätter am Zweig eines Baumes an.
0,A janitor about to mop in a train station., Ein  bereitet sich in einen  auf den Bahnhof vor . ,"Eine Reinigungskraft ist im Begriff, eine Bahnstation zu wischen."
0,Two little black boys are playing with plastic bottles and having a lot of fun., Zwei kleine Jungen spielen mit  voller viel Zeit mit vielen verschiedenen  . ,Zwei kleine schwarze Jungen spielen mit Plastikflaschen und haben dabei viel Spaß.
0,Green traffic signals light up as people look at motorcycles.,"  Verkehr Verkehr , während Menschen zuschauen . ","Ampeln schalten auf Grün, während die Menschen sich Motorräder ansehen."
0,Two people are climbing a rock wall with a rope.," Zwei Personen klettern eine Felswand hoch , an einem Seil . ",Zwei Menschen klettern mit einem Seil an einem Felsen.
0,A man and woman fishing at the beach., Ein Mann und eine Frau am Strand . ,Ein Mann und eine Frau fischen am Strand.
0,A child is doing a back flip whilst jumping on a trampoline.," Ein Kind macht einen Salto , während er auf dem Trampolin springt . ","Ein Kind macht einen Rückwärtssalto, während es auf einem Trampolin hüpft."
0,Kids are riding a swinging carnival ride, Kinder fahren auf einem  . ,Kinder fahren in einem Kettenkarussell
0,"Two people are holding a large upside-down earth globe, about 4' in diameter, and a child appears to be jumping over Antarctica."," Zwei Personen halten einen großen Erde um die Erde herum , die Erde zu halten , über die  sind , und ein Kind mit dem sich zu sehen sind . ","Zwei Menschen halten einen großen umgekehrten Globus mit einem Durchmesser von ca. 120 cm und es wirkt so, als würde ein Kind über die Antarktis springen."
0,Two men in the military are playing baseball., Zwei Männer in der Soldaten spielen Baseball . ,Zwei Männer beim Militär spielen Baseball.
0,A woman in a black dress is pushing a cart with thermos down a paved walkway., Eine Frau in einem schwarzen Kleid schiebt einen Wagen mit einem gepflasterten Gehweg hinunter . ,Eine Frau in einem schwarzen Kleid schiebt einen Wagen mit Thermoskannen einen gepflasterten Fußgängerweg entlang.
0,A policeman stopping a vehicle on the side of the road., Ein Polizist hat einen Fahrzeug am Straßenrand und ist dabei zu sehen . ,Ein Polizist hält ein Fahrzeug am Straßenrand an.
0,Man standing on a pier next to a boat on a still lake., Ein Mann steht neben einem Pier auf einem Boot auf dem See . ,Mann steht auf einem Pier neben einem Boot an einem ruhigen See.
0,A group of Scottish officers doing a demonstration., Eine Gruppe von  führt eine  vor . ,Eine Gruppe schottischer Offiziere gibt eine Vorführung.
0,"A woman and a child sit together in a door frame along a gray sidewalk, as a man and two women walk past."," Eine Frau und ein Kind sitzen zusammen auf einem Tür neben einem grauen Bild , während ein Mann auf dem Bürgersteig vorbei geht . ","Eine Frau und ein Kind sitzen zusammen in einem Türrahmen an einem grauen Gehweg, während ein Mann und zwei Frauen vorbeigehen."
0,A lone firefighter helps tame a large fire., Ein einzelner  hilft einem großen Feuer . ,Ein einzelner Feuerwehrmann hilft bei der Bekämpfung eines großen Brandes.
0,A person with a purple shirt is painting an image of a woman on a white wall., Eine Person mit einem lila Hemd malt ein Bild von einer Frau an eine weiße Wand . ,Eine Person in einem lilafarbenen Oberteil malt ein Bild von einer Frau auf eine weiße Wand.
0,A small girl is lying on the floor while her younger sister is pretending to be a nurse.," Ein kleines Mädchen liegt auf dem Boden und  als ob es sieht sich  , als sie als sie als ob er sich eine","Ein kleines Mädchen liegt auf dem Boden, während ihre jüngere Schwester Krankenschwester spielt."
0,"A young woman and older woman wear traditional saris as they spin textiles, three people are pictured at only the waists, and wear modern clothes."," Eine junge Frau und die ältere Frau in traditioneller Kleidung tragen , nehmen an drei Personen  und die  Kleidung als  werden . ","Eine junge Frau und eine ältere Frau in traditionellen Saris spinnen Textilien, während drei weitere Personen in moderner Kleidung nur von der Taille abwärts auf dem Bild zu sehen sind."
0,Women walking through deep snow and down a steep hill., Frauen gehen durch einen steilen schneebedeckten Hügel hinunter . ,Eine Frau geht durch den Tiefschnee einen steilen Abhang hinunter.
0,The FedEx driver listens to the workman in the green hard hat while the equipment to ship is being loaded., Der   Arbeiter hört dem grünen Schutzhelm zu . ,"Der FedEx-Fahrer hört dem Arbeiter mit dem grünen Schutzhelm zu, während die zu versendende Ausrüstung eingeladen wird."
0,The brown dog is wearing a black collar., Der braune Hund trägt ein schwarzer Halsband . ,Der braune Hund trägt ein schwarzes Halsband.
0,A brown a white dog runs down a yellow and blue ramp., Ein brauner Hund rennt eine gelbe  hinunter und ist eine blaue Rampe hinunter . ,Ein braun-weißer Hund rennt eine gelb-blaue Rampe hinunter.
0,A child is getting ready to read a book., Ein Kind bereitet sich vor ein Buch vor . ,"Ein Kind macht sich bereit, ein Buch zu lesen."
0,A older Japanese man trying to fix a small red and gray machine.," Ein älterer Mann versucht , einen kleinen roten und roten Maschine zu reparieren . ","Ein älterer Japaner versucht, eine kleine rot-graue Maschine zu reparieren."
0,A young child and a woman are standing around a caged rooster., Ein kleines Kind und eine Frau stehen in einem überfüllten Gebiet . ,Ein kleines Kind und eine Frau stehen um einen Hahn im Käfig herum.
0,A child that is dressed as Spiderman is ringing the doorbell., Ein Kind ist als   hoch . ,Ein als Spiderman verkleidetes Kind klingelt an der Tür.
0,A man dressed in brown holding a light saber., Ein Mann in brauner Kleidung hält eine  in den Licht . ,Ein braun gekleideter Mann hält ein Lichtschwert.
0,A young woman stands singing at a microphone while a man behind her holds a guitar.," Eine junge Frau singt und singt ein Mikrofon , während hinter ihr Mann hinter ihr steht . ","Eine junge Frau singt in ein Mikrofon, während ein Mann hinter ihr eine Gitarre hält."
0,Twp children dig holes in the dirt., Kinder  in einem Erde um den Erde zu  . ,Zwei Kinder graben Löcher in die Erde.
0,Many of the chairs are empty with only a few people enjoying the sun., Viele Leute sitzen auf Stühlen und haben ein paar Leute beim  Sonne . ,Viele Stühle sind leer und nur einige wenige Menschen genießen die Sonne.
0,Some men are sitting on a boat near a beach covered in stacked logs and sticks., Einige Männer sitzen auf einem Boot neben einem Boot auf einem mit   und  . ,"Einige Männer sitzen in einem Boot in der Nähe eines Strandes, der mit gestapelten Holzstämmen und Stöcken bedeckt ist."
0,A young man is carrying something in a large black plastic garbage bag., Ein junger Mann trägt etwas auf einem großen  eine schwarze Tasche . ,Ein junger Mann trägt etwas in einem großen schwarzen Plastikmüllsack.
0,"An older, overweight man flips a pancake while making breakfast."," Ein älterer Mann wirft einen  an , während er ein  macht . ","Ein älterer, übergewichtiger Mann wendet einen Pfannkuchen, während er Frühstück macht."
0,Men wearing yellow suits are on stage with a piano and one man is playing an upright bass., Männer in gelben Anzügen sind auf einem Klavier und ein Mann spielt mit einem Mann der Hand . ,Männer in gelben Anzügen und ein Klavier befinden sich auf der Bühne und ein Mann spielt einen Kontrabass.
0,Several people are standing near trees at dusk., Mehrere Personen stehen in der Nähe von Bäumen in der Nähe . ,Mehrere Menschen stehen in der Dämmerung in der Nähe einiger Bäume.
0,A brown dog chewing on a large piece of wood., Ein brauner Hund kaut auf einem großen Stück Holz . ,Ein brauner Hund kaut auf einem großen Holzstück herum.
0,A hiker posing for a photo in an arid mountain landscape.," Ein Wanderer posiert für ein Foto in einem Berg , in einer  Landschaft wird . ",Ein Wanderer posiert für ein Foto in einer trockenen Berglandschaft.
0,A group of children play in the water under a bridge., Eine Gruppe Kinder spielt im Wasser unter einer Brücke . ,Eine Gruppe von Kindern spielt im Wasser unter einer Brücke.
0,A woman is smiling next to man who is also smiling while holding cotton candy cone.," Eine Frau lächelt neben einem Mann , der es hat , als ob er sich auch Kunden hält . ","Eine Frau lächelt neben einem Mann, der ebenfalls lächelt und eine Zuckerwatte hält."
0,Two women are standing in front of a class of children talking about a book., Zwei Frauen stehen vor einer Klasse und die Kinder unterhalten sich . ,Zwei Frauen stehen vor einer Schulklasse und sprechen über ein Buch.
0,Two brunette women talking to a classroom full of blond children., Zwei brünette Frauen unterhalten sich in einem Klassenzimmer mit blondem Haar . ,Zwei brünette Frauen sprechen vor einer Klasse voll mit blonden Kindern.
0,A person wearing a hat and scarf looks to the right., Eine Person mit Hut und Schal schaut nach rechts . ,Eine Person mit Mütze und Schal blickt nach rechts.
0,Two people walking across a street., Zwei Personen gehen über eine Straße . ,Zwei Menschen überqueren eine Straße.
0,An old man is holding up one dog while his other dog climbs on his lap.," Ein alter Mann hält einen Hund hoch , während er auf dem Schoß einer Schoß klettert . ","Ein alter Mann hält einen Hund empor, während sein anderer Hund auf seinen Schoß klettert."
0,Three children watch a man on stage playing guitar., Drei Kinder schauen auf der Bühne eines Mannes auf der Bühne Gitarre . ,"Drei Kinder sehen zu, wie ein Mann auf einer Bühne Gitarre spielt."
0,A boy who is taking a stick from a girl in the middle of a race., Ein Junge macht einen Stock von einem Mädchen in der Mitte eines Rennens . ,Ein Junge übernimmt bei einem Rennen einen Stab von einem Mädchen.
0,"A blue Jeep drive into deep, muddy water.", Ein blau gekleideter blaues Kajak fährt durch Schlamm und Wasser . ,"Ein blauer Jeep fährt in tiefes, schlammiges Wasser."
0,The lady wearing a black hat is taking a picture while the snowfalls., Die Dame trägt einen schwarzen Hut und macht ein Foto von der  . ,Die Frau mit einem schwarzen Hut macht ein Foto bei Schneefall.
0,"A man sitting on the ground, playing guitar.", Ein Mann sitzt auf dem Boden und spielt Gitarre . ,Ein Mann sitzt auf dem Boden und spielt Gitarre.
0,A dog treads through a shallow area of water located on a rocky mountainside., Ein Hund  durch eine  Gegend in einem felsigen Gebiet . ,"Ein Hund geht durch eine seichte Wasseransammlung, die sich an einem felsigen Berghang befindet."
0,A young Asian woman is jumping midair in a crowded city part., Eine junge asiatische Frau springt in einer belebten Stadt in die Luft . ,Eine junge Asiatin vollführt in einem belebten Stadtteil einen Luftsprung.
0,A three man band is performing on stage., Ein drei Band tritt auf einer Bühne auf . ,Eine Drei-Mann-Band tritt auf einer Bühne auf.
0,Four people are protesting the treatment of young workers by Equinox.," Vier Menschen  die junge , wie die  Arbeiter  werden . ",Vier Menschen protestieren gegen die Behandlung junger Arbeiter durch Equinox.
0,A man cooking burgers on a black grill., Ein Mann kocht an einem schwarzen Grill auf einem Grill . ,Ein Mann brät Burger auf einem schwarzen Grill.
0,A man in a red baseball cap is leaning against a light pole., Ein Mann mit einer roten Baseballmütze lehnt gegen eine  Stange . ,Ein Mann mit einer roten Baseballkappe lehnt an einem Laternenpfahl.
0,A young boy in yellow t-shirt hanging from a ring with other kids around., Ein kleiner Junge in einem gelben T-Shirt hängt von einem Ring von anderen Kindern . ,Ein kleiner Junge in einem gelben T-Shirt hängt an einem Ring und ist dabei von anderen Kindern umgeben.
0,A small child eating fruit and drinking a glass of juice., Ein kleines Kind isst Obst und trinkt ein Glas . ,Ein kleines Kind isst Obst und trinkt ein Glas Saft.
0,"One man and two women wearing shorts, walk down the street."," Ein Mann und zwei Frauen , die Shorts tragen , gehen die Straße entlang . ",Ein Mann und zwei Frauen in Shorts gehen die Straße entlang.
0,Two poodles are running through the snow., Zwei Pudel laufen durch den Schnee . ,Zwei Pudel rennen durch den Schnee.
0,A little redheaded girl wears a Spider-Man suit while riding a play horse.," Ein rothaariges Mädchen das als ob sie eine Person trägt , ein Anzug trägt , reitet auf einem Pferd . ",Ein kleines rothaariges Mädchen in einem Spidermananzug reitet auf einem Spielzeugpferd.
0,Man in a small white boat on a lake., Ein Mann in einem kleinen weißen Boot auf einem See . ,Mann in einem kleinen weißen Boot auf einem See.
0,The skiers are in front of the lodge., Der Skifahrer vor dem  . ,Die Skifahrer befinden sich vor der Hütte.
0,People are being photographed while mountain climbing or hiking., Personen werden beim  oder wandert . ,Menschen werden beim Klettern oder Wandern fotografiert.
0,Several people swim in a body of water., Mehrere Personen schwimmen in einem Gewässer . ,Einige Menschen schwimmen in einem Gewässer.
0,Women in beach bikinis play volleyball in the sunny weather., Frauen in Bikini spielen bei Sonnenuntergang im  bei Sonnenuntergang . ,Frauen in Strandbikinis spielen Volleyball bei sonnigem Wetter.
0,A man and woman sit across from each other at a restaurant table., Ein Mann und eine Frau sitzen einander an einem Restaurant gegenüber . ,Ein Mann und eine Frau sitzen einander gegenüber an einem Restauranttisch.
0,A mother and two children are posing with funny faces., Eine Mutter und zwei Kinder posieren mit einem  Gesicht . ,Eine Mutter und zwei Kinder posieren mit lustigen Gesichtern.
0,A Golden Labrador is swimming through water with a red toy in its mouth., Ein über  Wasser mit einem roten Spielzeug im Maul ist mit einem roten Spielzeug im Maul . ,Ein Golden Labrador schwimmt mit einem roten Spielzeug im Maul durch das Wasser.
0,Four men standing near a yellow car., Vier Männer stehen in der Nähe eines gelben Auto . ,Vier Männer stehen bei einem gelben Auto.
0,"A group of men, women, and children, all wearing hats, talk on the beach."," Eine Gruppe Männer , Frauen und Frauen , die alle Hüten tragen , unterhalten sich am Strand . ","Eine Gruppe von Männern, Frauen und Kindern, die alle Hüte tragen, unterhält sich am Strand."
0,Little boy in Cami crawling on brown floor, Ein kleiner Junge in  rollt braune  auf dem Boden . ,Kleiner Junge im Tarnanzug krabbelt auf braunem Fußboden
0,"A little girl donates to the Salvation Army near a storefront with white, plastic containers."," Ein kleines Mädchen mit  in der Nähe einer weißen  mit weißen Tür , in der Nähe des  Behälter verkauft .",Ein kleines Mädchen spendet an einer Ladenfront mit weißen Plastikbehältern für die Heilsarmee.
0,A yellow dog carries a ball in its mouth on the beach., Ein gelber Hund trägt einen Ball im Maul am Strand . ,Ein gelber Hund am Strand trägt einen Ball im Maul.
0,A man in a red shirt is standing with two fitls in front of an old structure., Ein Mann in einem roten Hemd steht vor einer alten  . ,Ein Mann in einem roten T-Shirt steht mit zwei Kindern vor einem alten Bauwerk.
0,Man looks on as woman is talking while at a bar.," Ein Mann schaut zu , während eine Frau in einer Bar spricht . ",Mann sieht einer Frau in einer Bar beim Sprechen zu.
0,"A band playing in an outdoor theater, along the river."," Eine Band spielt im Freien in den  , steht auf den Fluss . ",Eine Band spielt auf einer Freilichtbühne am Fluss.
0,Two women are smiling at an event., Zwei Frauen lächeln bei einer Veranstaltung . ,Zwei Frauen lächeln bei einer Veranstaltung.
0,A woman wearing a pink shirt showing a man with a striped sweater how to do some work with yarn.," Eine Frau in einem rosa Oberteil zeigt einem Mann mit einem gestreiften Pullover , wie man ein paar  arbeitet . ","Ein Frau in einer rosafarbenen Bluse zeigt einem Mann in einem gestreiften Pullover, wie eine Handarbeit aus Garn hergestellt wird."
0,A child sitting on a rock formation., Ein Kind sitzt auf einer  . ,Ein Kind sitzt auf einem Felsen.
0,A man sitting on a chair with a beer in his hands roasting something to eat on a wooden stick.," Ein Mann sitzt auf einem Stuhl mit einem Bier in der Hand vor einem Stock , um etwas zu essen . ",Ein Mann sitzt mit einem Bier in der Hand auf einem Stuhl und brät an einem Holzstab etwas zu essen.
0,A police officer in his uniform wearing an ear piece., Ein Polizist in seinem Ohr trägt ein Stück . ,Ein Polizist in Uniform trägt einen Ohrhörer.
0,There is a man in fireman's gear crossing the road near a white bus and a red semi., Ein Mann in  überquert in einem weißen Bus der Straße in der Nähe eines roten  . ,Ein Mann in Feuerwehrkleidung überquert die Straße bei einem weißen Bus und einem roten Sattelschlepper.
0,A black and white dog swimming in clear water., Ein schwarz-weißer Hund schwimmt im Wasser . ,Ein schwarzweißer Hund schwimmt im klaren Wasser.
0,A band is playing music on stage at a concert., Eine Band spielt auf der Bühne Musik auf einer Bühne . ,Eine Band spielt bei einem Konzert Musik auf einer Bühne.
0,There are 3 people playing musical instrument and one other person looks like she is singing.," Drei Personen spielen ein  Instrument , und eine von ihnen singt , das sie singt . ","Drei Menschen spielen Musikinstrumente und eine andere Person sieht so aus, als ob sie singen würde."
0,A man playing a keyboard and singing into a microphone., Ein Mann spielt Keyboard und singt in ein Mikrofon . ,Eine Frau spielt Keyboard und singt in ein Mikrofon.
